table,cohort,non_responders,responders,grand_total,rr
all,2022-11,175298,67388,242686,28%
all,2022-12,190722,73752,264474,28%
all,2023-01,181291,86808,268099,32%
all,2023-02,184142,71139,255281,28%
all,2023-03,169649,65446,235095,28%
all,2023-04,168676,61894,230570,27%
all,2023-05,181640,59935,241575,25%
all,2023-06,203296,84939,288235,29%
all,2023-07,197031,88427,285458,31%
all,2023-08,195932,75327,271259,28%
all,2023-09,203496,72966,276462,26%
all,2023-10,181132,61535,242667,25%
all,2023-11,184831,69755,254586,27%
all,2023-12,218474,81508,299982,27%
all,2024-01,214900,86417,301317,29%
all,2024-02,258468,71602,330070,22%
all,2024-03,237537,59741,297278,20%
all,2024-04,270615,84950,355565,24%
all,2024-05,250135,66320,316455,21%
all,2024-06,281287,87598,368885,24%
all,2024-07,450101,122549,572650,21%
all,2024-08,370695,94259,464954,20%
all,2024-09,431462,99909,531371,19%
all,2024-10,391285,80009,471294,17%
all,2024-11,414247,92158,506405,18%
all,2024-12,439914,83648,523562,16%
all,2025-01,416902,94351,511253,18%
all,2025-02,419077,92418,511495,18%
all,2025-03,205106,72022,277128,26%
all,2025-04,590492,98596,689088,14%
all,2025-05,269842,73349,343191,21%
all,2025-06,529332,88955,618287,14%
all,2025-07,328575,74056,402631,18%
all,2025-08,412501,75959,488460,16%
all,2025-09,367584,83618,451202,19%
all,2025-10,421514,97635,519149,19%
all,2025-11,507945,140602,648547,22%
all,2025-12,437729,100956,538685,19%
all,2026-01,449886,78116,528002,15%
all,2026-02,509787,20863,530650,4%
all,GRAND_TOTAL,12512528,3241475,16754003,19%
mobile,2022-11,50,50252,50302,75%
mobile,2022-12,71,57934,58005,79%
mobile,2023-01,84,64443,64527,74%
mobile,2023-02,63,46781,46844,66%
mobile,2023-03,53,48186,48239,74%
mobile,2023-04,55,43932,43987,71%
mobile,2023-05,69,43208,43277,72%
mobile,2023-06,73,68558,68631,81%
mobile,2023-07,86,69013,69099,78%
mobile,2023-08,78,61481,61559,82%
mobile,2023-09,63,59338,59401,81%
mobile,2023-10,58,49645,49703,81%
mobile,2023-11,75,53203,53278,76%
mobile,2023-12,66,63456,63522,78%
mobile,2024-01,94,70441,70535,82%
mobile,2024-02,48,40178,40226,56%
mobile,2024-03,47,37784,37831,63%
mobile,2024-04,60,55928,55988,66%
mobile,2024-05,48,45442,45490,69%
mobile,2024-06,75,62166,62241,71%
mobile,2024-07,73,88283,88356,72%
mobile,2024-08,60,68122,68182,72%
mobile,2024-09,75,71136,71211,71%
mobile,2024-10,53,52580,52633,66%
mobile,2024-11,90,64874,64964,70%
mobile,2024-12,52,59144,59196,71%
mobile,2025-01,81,65597,65678,70%
mobile,2025-02,72,65498,65570,71%
mobile,2025-03,54,53358,53412,74%
mobile,2025-04,86,69207,69293,70%
mobile,2025-05,51,53130,53181,72%
mobile,2025-06,62,64766,64828,73%
mobile,2025-07,57,49569,49626,67%
mobile,2025-08,53,54426,54479,72%
mobile,2025-09,70,60244,60314,72%
mobile,2025-10,76,70122,70198,72%
mobile,2025-11,97,99704,99801,71%
mobile,2025-12,82,71237,71319,71%
mobile,2026-01,48,55560,55608,71%
mobile,2026-02,6,15574,15580,75%
mobile,GRAND_TOTAL,2614,2343500,2346114,75%
