# File 54 Block 0a (v1, bank-wide, TOP 10 TST_GRP_CD by distinct email-decisioned clients). Run 2026-09-04, Teradata-direct. Every code is a numbered test group (TGn); the C/T suffix guess classified nothing.
row_no	mne	test_group_code	suffix_rule_guess	distinct_clients_email_decisioned
1	VRE	TG4	UNCLASSIFIED_ASSUMED	9463956
2	QCF	TG1	UNCLASSIFIED_ASSUMED	9130442
3	PXY	TG4	UNCLASSIFIED_ASSUMED	7216080
4	VME	TG4	UNCLASSIFIED_ASSUMED	6541136
5	MVC	TG1	UNCLASSIFIED_ASSUMED	6125497
6	FRE	TG1	UNCLASSIFIED_ASSUMED	4001277
7	MVC	TG4	UNCLASSIFIED_ASSUMED	3877844
8	FWC	TG4	UNCLASSIFIED_ASSUMED	3511016
9	VRG	TG4	UNCLASSIFIED_ASSUMED	3342336
10	NLR	TG4	UNCLASSIFIED_ASSUMED	2370525
