# File 54 Block 0b v1 (bank-wide, one row per MNE, ordered by unclassified desc). Run 2026-09-04, Teradata-direct. PARTIAL: rows 1-N of 266 visible in screenshot. Superseded: v2 of file 54 is Cards-only.
row_no	mne	distinct_test_group_codes_seen	distinct_clients_total	distinct_clients_unclassified_by_guess	distinct_clients_action_assumed	distinct_clients_control_assumed
1	VRE	2	9464263	9464263	0	0
2	QCF	1	9130442	9130442	0	0
3	PXY	1	7216080	7216080	0	0
4	MVC	2	7195710	7195710	0	0
5	VME	1	6541136	6541136	0	0
6	TAO	44	4017340	4017340	0	0
7	GIS	37	4375255	4012399	947837	249258
8	FRE	3	4004663	4004663	0	0
9	FWC	2	3532850	3532850	0	0
10	VRG	2	3431738	3431738	0	0
11	ESV	26	3291589	3289119	7999	0
12	IDE	101	2936224	2907847	53853	6538
13	PAL	31	3794398	2769857	0	1712554
14	FNI	2	2715173	2715173	0	0
15	PCL	53	2571178	2480817	0	94480
16	NLR	1	2370525	2370525	0	0
17	EBG	2	2215157	2215157	0	0
18	AUS	2	2142516	2142516	0	0
19	RFT	1	1982809	1982809	0	0
20	IPC	1	1981039	1981039	0	0
21	PCD	81	2029007	1966500	269216	94486
22	NMI	8	1900741	1899152	3678	0
23	RSL	1	1835426	1835426	0	0
24	API	1	1685363	1685363	0	0
25	COB	3	1512698	1512698	0	0
26	RCL	11	1487947	1487947	0	0
27	PCQ	40	1681483	1476691	196849	643668
28	IRI	1	1452330	1452330	0	0
29	PPQ	364	1391067	1390122	1	51658
30	VSX	681	1713333	1290194	728771	1254
31	O2P	1	1285469	1285469	0	0
32	MYD	2	1264912	1264912	0	0
33	FHS	1	1215474	1215474	0	0
34	AUT	2	1182889	1182889	0	0
35	CRV	3	1174243	1174243	0	0
36	VUT	1	1172602	1172602	0	0
37	RMG	1	997121	997121	0	0
38	PVE	1	948006	948006	0	0
39	SBB	1	907883	907883	0	0
40	ZEN	1	835885	835885	0	0
41	POB	2	787247	787247	0	0
42	AUH	42	756437	756437	0	0
43	VMB	2	755103	755103	0	0
44	EAC	4	1116910	704700	0	417039
45	SVC	1	699265	699265	0	0
46	TLO	1	685161	685161	0	0
47	GNE	1	685148	685148	0	0
48	ACK	1	670266	670266	0	0
49	MSW	1	663397	663397	0	0
50	NBR	2	635162	635162	0	0
51	MOS	1	611982	611982	0	0
52	CTU	59	502216	502216	0	0
