# file 54 v3.1, run 2026-09-04, Teradata-direct, Cards MNEs (CRV/PCL/PCQ/PCD/AUH), window 2025-01-01+, grain client x tactic -- BLOCK 3 cube mne x cohort_yyyymm x arm_from_channel
mne	cohort_yyyymm	arm_from_channel	decisions	distinct_clients	decisions_in_master	decisions_sent_disposition1
AUH	202602	EMAIL_ACTION	94846	94846	86575	86575
AUH	202602	HOLDOUT_XX	95437	95437	0	0
AUH	202604	EMAIL_ACTION	661591	661591	555967	555967
AUH	202604	HOLDOUT_XX	286219	286219	0	0
CRV	202501	EMAIL_ACTION	52777	52745	24573	24573
CRV	202502	EMAIL_ACTION	57304	57235	0	0
CRV	202503	EMAIL_ACTION	63917	63871	0	0
CRV	202504	EMAIL_ACTION	57780	57748	0	0
CRV	202505	EMAIL_ACTION	51857	51806	0	0
CRV	202506	EMAIL_ACTION	55414	55392	40180	40180
CRV	202507	EMAIL_ACTION	20651	20646	15197	15197
CRV	202508	EMAIL_ACTION	49735	49703	39198	39198
CRV	202509	EMAIL_ACTION	60459	60427	54009	54009
CRV	202510	EMAIL_ACTION	59241	59205	49454	49454
CRV	202511	EMAIL_ACTION	59207	59144	52891	52891
CRV	202512	EMAIL_ACTION	58625	58606	51621	51621
CRV	202601	EMAIL_ACTION	57911	57858	49315	49315
CRV	202602	EMAIL_ACTION	60492	60355	56543	56543
CRV	202603	EMAIL_ACTION	76239	76043	70928	70928
CRV	202604	EMAIL_ACTION	59804	59696	55738	55738
CRV	202605	EMAIL_ACTION	56277	56161	49220	49220
CRV	202606	EMAIL_ACTION	72342	72190	53227	53227
CRV	202607	EMAIL_ACTION	59791	59680	7153	7153
CRV	202608	EMAIL_ACTION	67329	67166	19489	19489
PCD	202501	EMAIL_ACTION	410427	410427	383705	383705
PCD	202501	HOLDOUT_XX	106602	106602	0	0
PCD	202502	EMAIL_ACTION	455880	455880	426915	426915
PCD	202502	HOLDOUT_XX	105031	105031	0	0
PCD	202503	EMAIL_ACTION	447749	447749	420463	420463
PCD	202503	HOLDOUT_XX	103832	103832	0	0
PCD	202504	EMAIL_ACTION	259627	259627	243476	243476
PCD	202504	HOLDOUT_XX	103532	103532	0	0
PCD	202505	EMAIL_ACTION	568351	451149	532664	532664
PCD	202505	HOLDOUT_XX	133000	133000	0	0
PCD	202506	EMAIL_ACTION	420082	420082	392697	392697
PCD	202506	HOLDOUT_XX	131022	131022	0	0
PCD	202507	EMAIL_ACTION	453788	453788	421844	421844
PCD	202507	HOLDOUT_XX	138977	138977	0	0
PCD	202508	EMAIL_ACTION	342576	342576	317116	317116
PCD	202508	HOLDOUT_XX	138402	138402	0	0
PCD	202509	EMAIL_ACTION	411126	411126	380070	380070
PCD	202509	HOLDOUT_XX	132750	132750	0	0
PCD	202510	EMAIL_ACTION	429228	429228	394905	394905
PCD	202510	HOLDOUT_XX	132556	132556	0	0
