# file 57 v1.1 (prior-SFMC-unsub split of email-action send rate), run 2026-09-04, Teradata-direct, Cards MNEs, decisions window 2025-01-01+, unsub lookback 2024-01-01+, grain client x tactic. Block 1: prior-unsub split, zero-send months excluded
mne	prior_unsub_flag	decisions	distinct_clients	decisions_sent
AUH	NO_PRIOR_UNSUB	716613	716613	629332
AUH	PRIOR_UNSUB	39824	39824	13210
CRV	NO_PRIOR_UNSUB	876935	721737	654274
CRV	PRIOR_UNSUB	49359	42042	34462
PCD	NO_PRIOR_UNSUB	8153301	1678759	7732049
PCD	PRIOR_UNSUB	420631	100443	146222
PCL	NO_PRIOR_UNSUB	12039061	2198877	11416399
PCL	PRIOR_UNSUB	506953	116894	420951
PCQ	NO_PRIOR_UNSUB	10447249	1416824	9962770
PCQ	PRIOR_UNSUB	471140	70067	207608
TOTAL	NO_PRIOR_UNSUB	32233159	4714863	30394824
TOTAL	PRIOR_UNSUB	1487907	261400	822453
