# file 57 v1.1 (prior-SFMC-unsub split of email-action send rate), run 2026-09-04, Teradata-direct, Cards MNEs, decisions window 2025-01-01+, unsub lookback 2024-01-01+, grain client x tactic. Block 2: prior-unsub split, all months
mne	prior_unsub_flag	decisions	distinct_clients	decisions_sent
AUH	NO_PRIOR_UNSUB	716613	716613	629332
AUH	PRIOR_UNSUB	39824	39824	13210
CRV	NO_PRIOR_UNSUB	1100934	871565	654274
CRV	PRIOR_UNSUB	56218	46799	34462
PCD	NO_PRIOR_UNSUB	8153301	1678759	7732049
PCD	PRIOR_UNSUB	420631	100443	146222
PCL	NO_PRIOR_UNSUB	12675655	2239160	11416399
PCL	PRIOR_UNSUB	548414	121319	420951
PCQ	NO_PRIOR_UNSUB	10447249	1416824	9962770
PCQ	PRIOR_UNSUB	471140	70067	207608
TOTAL	NO_PRIOR_UNSUB	33093752	4777656	30394824
TOTAL	PRIOR_UNSUB	1536227	265081	822453
