# file 57 v1.1 (prior-SFMC-unsub split of email-action send rate), run 2026-09-04, Teradata-direct, Cards MNEs, decisions window 2025-01-01+, unsub lookback 2024-01-01+, grain client x tactic. Block 3: cube mne x cohort_month x prior_unsub_flag. Rows 46-48 (PCD 202501 PRIOR_UNSUB, PCD 202502 NO_PRIOR_UNSUB, PCD 202502 PRIOR_UNSUB) NOT photographed - flagged placeholders below.
mne	cohort_yyyymm	prior_unsub_flag	decisions	distinct_clients	decisions_sent
AUH	202602	NO_PRIOR_UNSUB	89227	89227	84263
AUH	202602	PRIOR_UNSUB	5619	5619	2312
AUH	202604	NO_PRIOR_UNSUB	627386	627386	545069
AUH	202604	PRIOR_UNSUB	34205	34205	10898
CRV	202501	NO_PRIOR_UNSUB	51620	51589	24061
CRV	202501	PRIOR_UNSUB	1157	1156	512
CRV	202502	NO_PRIOR_UNSUB	55989	55922	0
CRV	202502	PRIOR_UNSUB	1315	1313	0
CRV	202503	NO_PRIOR_UNSUB	61958	61914	0
CRV	202503	PRIOR_UNSUB	1959	1957	0
CRV	202504	NO_PRIOR_UNSUB	55783	55753	0
CRV	202504	PRIOR_UNSUB	1997	1995	0
CRV	202505	NO_PRIOR_UNSUB	50269	50219	0
CRV	202505	PRIOR_UNSUB	1588	1587	0
CRV	202506	NO_PRIOR_UNSUB	53270	53248	38616
CRV	202506	PRIOR_UNSUB	2144	2144	1564
CRV	202507	NO_PRIOR_UNSUB	19931	19926	14693
CRV	202507	PRIOR_UNSUB	720	720	504
CRV	202508	NO_PRIOR_UNSUB	47902	47871	37746
CRV	202508	PRIOR_UNSUB	1833	1832	1452
CRV	202509	NO_PRIOR_UNSUB	57649	57617	51587
CRV	202509	PRIOR_UNSUB	2810	2810	2422
CRV	202510	NO_PRIOR_UNSUB	56408	56372	47190
CRV	202510	PRIOR_UNSUB	2833	2833	2264
CRV	202511	NO_PRIOR_UNSUB	56460	56399	50553
CRV	202511	PRIOR_UNSUB	2747	2745	2338
CRV	202512	NO_PRIOR_UNSUB	54982	54965	48554
CRV	202512	PRIOR_UNSUB	3643	3641	3067
CRV	202601	NO_PRIOR_UNSUB	54668	54617	46661
CRV	202601	PRIOR_UNSUB	3243	3241	2654
CRV	202602	NO_PRIOR_UNSUB	57322	57190	53748
CRV	202602	PRIOR_UNSUB	3170	3165	2795
CRV	202603	NO_PRIOR_UNSUB	71569	71388	66859
CRV	202603	PRIOR_UNSUB	4670	4655	4069
CRV	202604	NO_PRIOR_UNSUB	56147	56048	52603
CRV	202604	PRIOR_UNSUB	3657	3648	3135
CRV	202605	NO_PRIOR_UNSUB	52944	52830	46540
CRV	202605	PRIOR_UNSUB	3333	3331	2680
CRV	202606	NO_PRIOR_UNSUB	67360	67216	49820
CRV	202606	PRIOR_UNSUB	4982	4974	3407
CRV	202607	NO_PRIOR_UNSUB	55771	55668	6676
CRV	202607	PRIOR_UNSUB	4020	4012	477
CRV	202608	NO_PRIOR_UNSUB	62932	62775	18367
CRV	202608	PRIOR_UNSUB	4397	4391	1122
PCD	202501	NO_PRIOR_UNSUB	401190	401190	378690
PCD	202501	PRIOR_UNSUB	?	?	?
PCD	202502	NO_PRIOR_UNSUB	?	?	?
PCD	202502	PRIOR_UNSUB	?	?	?
PCD	202503	NO_PRIOR_UNSUB	435863	435863	413958
PCD	202503	PRIOR_UNSUB	11886	11886	6505
PCD	202504	NO_PRIOR_UNSUB	252108	252108	239073
PCD	202504	PRIOR_UNSUB	7519	7519	4403
PCD	202505	NO_PRIOR_UNSUB	550560	436984	521652
PCD	202505	PRIOR_UNSUB	17791	14306	11012
PCD	202506	NO_PRIOR_UNSUB	405998	405998	384379
PCD	202506	PRIOR_UNSUB	14084	14084	8318
PCD	202507	NO_PRIOR_UNSUB	437022	437022	414400
PCD	202507	PRIOR_UNSUB	16766	16766	7444
PCD	202508	NO_PRIOR_UNSUB	328733	328733	311760
PCD	202508	PRIOR_UNSUB	13843	13843	5356
PCD	202509	NO_PRIOR_UNSUB	392572	392572	373653
PCD	202509	PRIOR_UNSUB	18554	18554	6417
PCD	202510	NO_PRIOR_UNSUB	408665	408665	388448
PCD	202510	PRIOR_UNSUB	20563	20563	6457
PCD	202511	NO_PRIOR_UNSUB	120676	120676	114819
PCD	202511	PRIOR_UNSUB	6371	6371	1818
PCD	202512	NO_PRIOR_UNSUB	460857	460857	440729
PCD	202512	PRIOR_UNSUB	25494	25494	8199
PCD	202601	NO_PRIOR_UNSUB	352986	308037	336906
PCD	202601	PRIOR_UNSUB	21220	18748	7232
PCD	202602	NO_PRIOR_UNSUB	431055	347836	403696
PCD	202602	PRIOR_UNSUB	26381	21453	8444
PCD	202603	NO_PRIOR_UNSUB	666745	538065	635596
PCD	202603	PRIOR_UNSUB	43908	35711	13219
PCD	202604	NO_PRIOR_UNSUB	313592	313592	297692
PCD	202604	PRIOR_UNSUB	21789	21789	6285
PCD	202605	NO_PRIOR_UNSUB	448466	316161	426011
PCD	202605	PRIOR_UNSUB	32869	23472	8856
PCD	202606	NO_PRIOR_UNSUB	565974	384796	536546
PCD	202606	PRIOR_UNSUB	41782	28745	10992
PCD	202607	NO_PRIOR_UNSUB	227024	227022	214672
PCD	202607	PRIOR_UNSUB	17823	17823	4411
PCD	202608	NO_PRIOR_UNSUB	509164	509164	479103
PCD	202608	PRIOR_UNSUB	40922	40922	9190
PCL	202501	NO_PRIOR_UNSUB	1026780	836593	1017888
PCL	202501	PRIOR_UNSUB	21763	17982	20701
PCL	202502	NO_PRIOR_UNSUB	555909	462243	551218
PCL	202502	PRIOR_UNSUB	12860	10798	12069
PCL	202503	NO_PRIOR_UNSUB	422636	422636	419157
PCL	202503	PRIOR_UNSUB	10497	10497	9892
PCL	202504	NO_PRIOR_UNSUB	592527	506401	587666
PCL	202504	PRIOR_UNSUB	15637	13452	14595
PCL	202505	NO_PRIOR_UNSUB	648638	603437	643271
PCL	202505	PRIOR_UNSUB	18175	17012	16890
PCL	202506	NO_PRIOR_UNSUB	495687	492626	491440
PCL	202506	PRIOR_UNSUB	14693	14615	13604
PCL	202507	NO_PRIOR_UNSUB	763870	691599	755068
PCL	202507	PRIOR_UNSUB	24339	22100	22368
PCL	202508	NO_PRIOR_UNSUB	482101	482101	477884
PCL	202508	PRIOR_UNSUB	16605	16605	15076
PCL	202509	NO_PRIOR_UNSUB	600417	514360	594780
PCL	202509	PRIOR_UNSUB	23083	19783	20828
PCL	202510	NO_PRIOR_UNSUB	570894	477269	564593
PCL	202510	PRIOR_UNSUB	23942	20112	21153
PCL	202511	NO_PRIOR_UNSUB	597326	515373	591354
PCL	202511	PRIOR_UNSUB	25909	22273	23272
PCL	202512	NO_PRIOR_UNSUB	699466	605921	692483
PCL	202512	PRIOR_UNSUB	32573	28297	28708
PCL	202601	NO_PRIOR_UNSUB	865599	745731	856610
PCL	202601	PRIOR_UNSUB	43626	37770	38235
PCL	202602	NO_PRIOR_UNSUB	584840	456417	578532
PCL	202602	PRIOR_UNSUB	31896	25043	27714
PCL	202603	NO_PRIOR_UNSUB	620500	542371	613511
PCL	202603	PRIOR_UNSUB	35185	30854	30479
PCL	202604	NO_PRIOR_UNSUB	635123	546066	628080
PCL	202604	PRIOR_UNSUB	37083	31986	31776
PCL	202605	NO_PRIOR_UNSUB	597170	518961	590415
PCL	202605	PRIOR_UNSUB	36798	31948	31732
PCL	202606	NO_PRIOR_UNSUB	640519	550766	632978
PCL	202606	PRIOR_UNSUB	40239	34664	34550
PCL	202607	NO_PRIOR_UNSUB	636594	538747	0
PCL	202607	PRIOR_UNSUB	41461	35021	0
PCL	202608	NO_PRIOR_UNSUB	639059	537668	129471
PCL	202608	PRIOR_UNSUB	42050	35437	7309
