# File 58 (prior unsub same-MNE vs other-MNE-only), run 2026-09-04, Teradata-direct, Cards MNEs, decisions 2025-01-01+, unsub lookback 2024-01-01+, zero-send months excluded, grain client x tactic. BLOCK 1.
mne	prior_unsub_flag	decisions	distinct_clients	decisions_sent
AUH	NO_PRIOR_UNSUB	716613	716613	629332
AUH	PRIOR_UNSUB_OTHER_MNE_ONLY	39824	39824	13210
CRV	NO_PRIOR_UNSUB	876935	721737	654274
CRV	PRIOR_UNSUB_OTHER_MNE_ONLY	48910	41735	34422
CRV	PRIOR_UNSUB_SAME_MNE	449	378	40
PCD	NO_PRIOR_UNSUB	8153301	1678759	7732049
PCD	PRIOR_UNSUB_OTHER_MNE_ONLY	390826	94196	142221
PCD	PRIOR_UNSUB_SAME_MNE	29805	6806	4001
PCL	NO_PRIOR_UNSUB	12039061	2198877	11416399
PCL	PRIOR_UNSUB_OTHER_MNE_ONLY	453537	108774	416256
PCL	PRIOR_UNSUB_SAME_MNE	53416	9929	4695
PCQ	NO_PRIOR_UNSUB	10447249	1416824	9962770
PCQ	PRIOR_UNSUB_OTHER_MNE_ONLY	365901	54689	178654
PCQ	PRIOR_UNSUB_SAME_MNE	105239	16537	28954
