# File 60 (monthly SF-primary + CPC-only union; SF disp-4 first per client-month vs CPC_RB_PREF 1012->5002 any origin; match CLNT_NO write within [-1,+14] days), run 2026-09-04, Teradata-direct, window 2024-08..2026-07, active-personal universe, grain client-month. BLOCK 1.
cohort_yyyymm	sf_only	sf_and_cpc	cpc_only
2024-08	17645	236	13780
2024-09	29102	300	14653
2024-10	28886	245	16122
2024-11	24036	216	14544
2024-12	26050	250	13658
2025-01	27620	275	17062
2025-02	15863	141	12734
2025-03	15734	148	13871
2025-04	17419	174	11536
2025-05	23132	199	15033
2025-06	24518	157	12223
2025-07	25187	157	12668
2025-08	30057	192	10125
2025-09	27409	201	9932
2025-10	26401	201	11234
2025-11	25711	252	10023
2025-12	26188	294	11565
2026-01	25081	230	12497
2026-02	26623	133	10355
2026-03	26015	62	8842
2026-04	23451	83	9087
2026-05	17655	85	9100
2026-06	21670	191	12255
2026-07	12914	6	8253
TOTAL	564367	4428	291152
