# File 60 v2 (dedup ONE ROW PER CLIENT in window, both sides; SF disp-4 vs CPC_RB_PREF 1012->5002 any origin; CLNT_NO match within [-1,+14] days), run 2026-09-04, window 2024-08..2026-07, active-personal universe. SF total 524,576 vs Q1 506,646: residual 3.5% = Q1 dedups from 2024-01; v3 will match. BLOCK 1.
cohort_yyyymm	sf_only	sf_and_cpc	cpc_only
2024-08	17645	236	13780
2024-09	28108	286	14665
2024-10	28454	241	16125
2024-11	23495	213	14546
2024-12	25444	248	13661
2025-01	26669	268	17068
2025-02	14996	135	12741
2025-03	14723	139	13878
2025-04	15762	161	11544
2025-05	19141	167	15067
2025-06	21039	141	12239
2025-07	22496	141	12686
2025-08	27448	176	10140
2025-09	24809	179	9951
2025-10	23699	174	11262
2025-11	23111	223	10048
2025-12	23513	269	11593
2026-01	22731	208	12518
2026-02	24100	122	10366
2026-03	23697	55	8849
2026-04	21491	75	9094
2026-05	16226	76	9108
2026-06	19636	167	12280
2026-07	12037	6	8254
TOTAL	520470	4106	291463
