# Chart series for the director's ask (pack 60 v2): lower = Salesforce unsubs (sf_only + sf_and_cpc); upper = lower + CPC-only 1012 revocations; one row per client, Aug-2024..Jul-2026, active personal. 2026-09-04.
cohort_yyyymm	sf_lower	sf_plus_cpc_upper	cpc_only_added	pct_added
2024-08	17881	31661	13780	77
2024-09	28394	43059	14665	52
2024-10	28695	44820	16125	56
2024-11	23708	38254	14546	61
2024-12	25692	39353	13661	53
2025-01	26937	44005	17068	63
2025-02	15131	27872	12741	84
2025-03	14862	28740	13878	93
2025-04	15923	27467	11544	72
2025-05	19308	34375	15067	78
2025-06	21180	33419	12239	58
2025-07	22637	35323	12686	56
2025-08	27624	37764	10140	37
2025-09	24988	34939	9951	40
2025-10	23873	35135	11262	47
2025-11	23334	33382	10048	43
2025-12	23782	35375	11593	49
2026-01	22939	35457	12518	55
2026-02	24222	34588	10366	43
2026-03	23752	32601	8849	37
2026-04	21566	30660	9094	42
2026-05	16302	25410	9108	56
2026-06	19803	32083	12280	62
2026-07	12043	20297	8254	69
TOTAL	524576	816039	291463	56
