# File 61 v1 (SOURCE = DDWV01.CPC_RB_PREF_LOG, APP_SYS_CD=7020), run 2026-09-04, Teradata-direct, 1012 window 2025-05-01..2026-06-25, 1046 window 2025-04-01..2026-07-31. WRONG SOURCE: the log carries ~1% of the 7020-origin writes seen on CPC_RB_PREF (17,127 Avion closures in the same window). Kept as evidence about the log table only; v2 re-reads CPC_RB_PREF. BLOCK 3 monthly denominators.
cohort_yyyymm	clnt_7020_1012	clnt_7020_1046	clnt_both_same_day
2025-05	68	11	2
2025-06	21	13	2
2025-07	45	16	2
2025-08	19	2	0
2025-09	26	7	0
2025-10	34	8	1
2025-11	32	6	3
2025-12	29	5	1
2026-01	23	2	1
2026-02	10	0	0
2026-03	3	0	0
2026-04	2	0	0
2026-05	3	0	0
2026-06	9	0	0
