# File 61 v2 (SOURCE = DDWV01.CPC_RB_PREF, APP_SYS_CD=7020), run 2026-09-04, Teradata-direct, 1012 window 2025-05-01..2026-06-25, 1046 window 2025-04-01..2026-07-31, grain client. BLOCK 3 monthly denominators.
cohort_yyyymm	clnt_7020_1012	clnt_7020_1046	clnt_both_same_day
2025-05	7552	2307	439
2025-06	5007	2409	465
2025-07	4595	2376	440
2025-08	3364	1220	257
2025-09	3624	1300	227
2025-10	4454	1522	330
2025-11	4248	1555	289
2025-12	5502	1411	263
2026-01	4261	1465	272
2026-02	3181	416	71
2026-03	354	72	12
2026-04	788	149	24
2026-05	793	328	72
2026-06	2937	596	132
