# File 65 (backfeed catch-up tracker, CPC_RB_PREF 1012->5002), run 2026-09-04. BLOCK 1 top 20 day x hour x origin cells since 2026-07-01.
write_dt	write_hour	APP_SYS_CD	clients
2026-09-02	5	7020	9284
2026-09-03	4	7020	239
2026-09-01	4	7020	71
2026-07-30	9	7003	58
2026-07-16	12	7001	58
2026-07-16	14	7001	48
2026-08-05	12	7001	47
2026-07-16	13	7001	46
2026-08-07	13	7003	46
2026-07-30	8	7003	46
2026-07-27	14	7001	46
2026-07-06	14	7003	43
2026-07-27	13	7001	41
2026-08-13	9	7003	41
2026-07-17	11	7001	40
2026-07-16	15	7001	40
2026-08-05	10	7001	39
2026-07-15	8	7001	39
2026-07-29	13	7001	39
2026-07-21	9	7003	39
